transaction_id,store_id,store_region,loyalty_flag,payment_type,total_quantity,distinct_products,transaction_value
TXN-0000001,ST-TOR-001,Central,Y,Credit,3,2,47.22
TXN-0000002,ST-TOR-001,Central,N,Debit,1,1,6.35
TXN-0000003,ST-TOR-001,Central,Y,Credit,5,2,70.91
TXN-0000004,ST-TOR-001,Central,N,Credit,2,2,20.64
TXN-0000005,ST-TOR-001,Central,N,Credit,4,3,59.80
TXN-0000006,ST-TOR-001,Central,N,Credit,5,2,16.12
TXN-0000007,ST-TOR-001,Central,N,Cash,4,3,47.07
TXN-0000008,ST-TOR-001,Central,Y,Debit,3,1,33.78
TXN-0000009,ST-TOR-001,Central,N,Debit,4,3,36.94
TXN-0000010,ST-TOR-001,Central,N,Debit,7,5,45.30
TXN-0000011,ST-TOR-001,Central,Y,Debit,5,2,63.12
TXN-0000012,ST-TOR-001,Central,Y,Debit,1,1,3.12
TXN-0000013,ST-TOR-001,Central,N,Debit,4,2,63.35
TXN-0000014,ST-TOR-001,Central,Y,Mobile,5,2,26.23
TXN-0000015,ST-TOR-001,Central,Y,Debit,3,3,30.36
TXN-0000016,ST-TOR-001,Central,Y,Debit,4,3,49.23
TXN-0000017,ST-TOR-002,Central,Y,Mobile,3,2,9.88
TXN-0000018,ST-TOR-002,Central,Y,Debit,8,4,47.40
TXN-0000019,ST-TOR-002,Central,Y,Credit,5,3,53.53
TXN-0000020,ST-TOR-002,Central,Y,Credit,11,5,86.22
TXN-0000021,ST-TOR-002,Central,N,Credit,7,3,23.24
TXN-0000022,ST-TOR-002,Central,Y,Credit,5,3,33.76
TXN-0000023,ST-TOR-002,Central,N,Credit,4,2,23.82
TXN-0000024,ST-TOR-002,Central,Y,Credit,3,1,6.72
TXN-0000025,ST-TOR-002,Central,Y,Credit,4,2,23.95
TXN-0000026,ST-TOR-002,Central,Y,Credit,4,3,50.39
TXN-0000027,ST-TOR-002,Central,Y,Credit,4,2,38.76
TXN-0000028,ST-TOR-002,Central,Y,Cash,2,1,34.84
TXN-0000029,ST-TOR-002,Central,Y,Debit,1,1,13.44
TXN-0000030,ST-TOR-002,Central,Y,Credit,2,2,14.06
TXN-0000031,ST-TOR-002,Central,Y,Debit,4,2,45.82
TXN-0000032,ST-TOR-002,Central,Y,Credit,6,4,50.59
TXN-0000033,ST-SCA-001,Central,N,Credit,9,6,109.65
TXN-0000034,ST-SCA-001,Central,Y,Cash,4,1,51.76
TXN-0000035,ST-SCA-001,Central,Y,Credit,6,3,64.03
